SECT_NAME,SECT_CODE,LIE_NAME,LIE_CODE,LI_NO,SDFKEY,SDFNAME
中山區,6300400,金泰里,6300400041,014,6300400041014,金泰里14鄰
內湖區,6301000,西湖里,6301000001,027,6301000001027,西湖里27鄰
內湖區,6301000,港華里,6301000008,009,6301000008009,港華里9鄰
中山區,6300400,大直里,6300400014,005,6300400014005,大直里5鄰
士林區,6301100,百齡里,6301100011,010,6301100011010,百齡里10鄰
士林區,6301100,葫蘆里,6301100017,015,6301100017015,葫蘆里15鄰
士林區,6301100,葫東里,6301100018,001,6301100018001,葫東里1鄰
士林區,6301100,福林里,6301100003,011,6301100003011,福林里11鄰
士林區,6301100,百齡里,6301100011,005,6301100011005,百齡里5鄰
中山區,6300400,劍潭里,6300400013,010,6300400013010,劍潭里10鄰
內湖區,6301000,秀湖里,6301000032,011,6301000032011,秀湖里11鄰
內湖區,6301000,秀湖里,6301000032,009,6301000032009,秀湖里9鄰
內湖區,6301000,港華里,6301000008,007,6301000008007,港華里7鄰
內湖區,6301000,港華里,6301000008,014,6301000008014,港華里14鄰
中山區,6300400,大直里,6300400014,004,6300400014004,大直里4鄰
士林區,6301100,葫蘆里,6301100017,008,6301100017008,葫蘆里8鄰
士林區,6301100,葫東里,6301100018,006,6301100018006,葫東里6鄰
內湖區,6301000,西湖里,6301000001,025,6301000001025,西湖里25鄰
士林區,6301100,前港里,6301100010,011,6301100010011,前港里11鄰
士林區,6301100,前港里,6301100010,001,6301100010001,前港里1鄰
內湖區,6301000,港富里,6301000007,017,6301000007017,港富里17鄰
士林區,6301100,葫蘆里,6301100017,027,6301100017027,葫蘆里27鄰
內湖區,6301000,湖濱里,6301000010,004,6301000010004,湖濱里4鄰
內湖區,6301000,湖濱里,6301000010,007,6301000010007,湖濱里7鄰
內湖區,6301000,湖濱里,6301000010,008,6301000010008,湖濱里8鄰
內湖區,6301000,秀湖里,6301000032,002,6301000032002,秀湖里2鄰
內湖區,6301000,湖濱里,6301000010,009,6301000010009,湖濱里9鄰
士林區,6301100,百齡里,6301100011,024,6301100011024,百齡里24鄰
